Date,Open,High,Low,Close,Volume,Adj Close
16/03/16,43.82,44.459999,43.404999,44.139999,263300,44.139999
15/03/16,44.689999,45.450001,43.48,44.09,378000,44.09
14/03/16,45.200001,45.450001,44.330002,45.119999,312600,45.119999
11/03/16,45.380001,45.799999,44.810001,45.720001,301000,45.720001
10/03/16,44.580002,45.299999,44.299999,45.080002,358500,45.080002
09/03/16,44.5,44.805,44.07,44.610001,232800,44.610001
08/03/16,44.75,45.195,44.07,44.490002,402700,44.490002
07/03/16,43.540001,45.25,43.16,45.049999,359900,45.049999
04/03/16,43.75,44.75,43.049999,43.740002,478600,43.740002
03/03/16,42.610001,43.82,42.459999,43.639999,539300,43.639999
02/03/16,42.669998,43.490002,41.610001,43.080002,508300,43.080002
01/03/16,41.950001,43.529999,41.330002,43.23,1378800,43.23
29/02/16,40.509998,42.540001,40.34,41.66,1155900,41.66
26/02/16,39.02,40.759998,38.68,40.619999,564900,40.619999
25/02/16,37.25,38.799999,37.25,38.75,444100,38.75
24/02/16,36.419998,37.200001,35,36.529999,322800,36.529999
23/02/16,36.310001,37.439999,35.860001,36.639999,713100,36.639999
22/02/16,34.459999,36.779999,34.130001,36.709999,570300,36.709999
19/02/16,33.759998,34.599998,33.389999,34.18,232400,34.18
18/02/16,34.34,34.759998,33.779999,34.009998,411200,34.009998
17/02/16,32.669998,34.540001,32.549999,34.34,541500,34.34
16/02/16,32.540001,32.779999,30.33,32.400002,537100,32.400002
12/02/16,33.310001,33.650002,30.27,32.220001,960800,32.220001
11/02/16,31.030001,34.400002,28.280001,33.02,2005100,33.02
10/02/16,28.309999,29.459999,27,29.040001,1195700,29.040001
09/02/16,29.120001,31.299999,27.459999,27.52,902600,27.52
08/02/16,31.709999,31.858,27.74,29,687600,29
05/02/16,39.639999,40.139999,31.014999,32.009998,865300,32.009998
04/02/16,39.389999,40.549999,39.009998,39.939999,360700,39.939999
03/02/16,38.580002,39.77,37.450001,39.610001,452600,39.610001
02/02/16,40.5,40.860001,37.82,38,322000,38
01/02/16,40.220001,41.060001,38.779999,40.799999,221300,40.799999
29/01/16,40,41.619999,39.709999,40.59,395800,40.59
28/01/16,40.700001,40.965,38.049999,40.029999,742000,40.029999
27/01/16,42.810001,42.849998,40.23,40.900002,379500,40.900002
26/01/16,45.450001,45.630001,42.25,42.950001,665500,42.950001
25/01/16,48.66,49.139999,45.150002,45.369999,285700,45.369999
22/01/16,49.09,50,48.619999,49.07,197700,49.07
21/01/16,47.830002,49.099998,47.119999,48.689999,325600,48.689999
20/01/16,47.029999,48.779999,43.709999,47.990002,319200,47.990002
19/01/16,50.48,50.487999,46.903999,47.349998,280500,47.349998
15/01/16,49.25,50.099998,47.869999,50.040001,239300,50.040001
14/01/16,49.98,51.049999,49.200001,50.509998,388800,50.509998
13/01/16,52.970001,53.59,49.166,49.939999,215300,49.939999
12/01/16,54.549999,54.990002,52.139999,52.970001,196000,52.970001
11/01/16,52.470001,53.970001,51.806999,53.91,232700,53.91
08/01/16,52.91,53.73,52.52,52.66,294600,52.66
07/01/16,53.75,53.839001,52.419998,52.759998,211700,52.759998
06/01/16,53.91,54.939999,53.509998,54.689999,198900,54.689999
05/01/16,54.77,54.959999,53.799999,54.650002,226400,54.650002
04/01/16,55.439999,55.98,53.599998,54.889999,250900,54.889999
31/12/15,57.540001,57.900002,56.27,56.310001,187000,56.310001
30/12/15,57.68,58.630001,57.619999,57.73,119200,57.73
29/12/15,56.860001,57.849998,56.860001,57.650002,118200,57.650002
28/12/15,56.59,57.09,56.220001,56.720001,58700,56.720001
24/12/15,57,57.07,56.299999,56.540001,55500,56.540001
23/12/15,55.959999,56.900002,55.810001,56.650002,81500,56.650002
22/12/15,55.48,56.029999,55.220001,55.830002,76200,55.830002
21/12/15,55.470001,55.5,54.709999,55.220001,118100,55.220001
18/12/15,56.959999,57.424999,55.130001,55.209999,352100,55.209999
17/12/15,56.619999,57.59,56.099998,57.060001,146000,57.060001
16/12/15,55.810001,56.41,54.299999,56.32,265000,56.32
15/12/15,55.580002,56.48,55.049999,55.349998,276900,55.349998
14/12/15,55.689999,56.23,54.299999,55.169998,272700,55.169998
11/12/15,56.639999,57.27,55.369999,55.790001,234400,55.790001
10/12/15,59.509998,60.044998,57.099998,57.330002,299000,57.330002
09/12/15,59.200001,60.110001,58.669998,59.549999,475100,59.549999
08/12/15,58.349998,59.68,57.560001,59.330002,237800,59.330002
07/12/15,58.759998,59.189999,58.299999,58.919998,298300,58.919998
04/12/15,57.360001,59.029999,57.310001,59.02,284300,59.02
03/12/15,56.75,58.299999,56.43,57.580002,517600,57.580002
02/12/15,55.93,56.84,55.119999,56.32,204500,56.32
01/12/15,53.57,55.889999,52.73,55.650002,249400,55.650002
30/11/15,55.880001,56.130001,54.169998,54.209999,265500,54.209999
27/11/15,55.5,55.98,55.27,55.900002,179100,55.900002
25/11/15,54.490002,56.220001,54.139999,55.439999,346200,55.439999
24/11/15,53.700001,55,53.389999,54.599998,258200,54.599998
23/11/15,53.259998,54.75,52.860001,53.93,430400,53.93
20/11/15,53,53.68,52.380001,53.169998,210700,53.169998
19/11/15,52.900002,53.779999,52.630001,52.970001,382600,52.970001
